;Mixture;x1;x2;SMILES1;SMILES2;Count dens binary;Count actcoeff binary;Count sos binary;Count dielec binary;Count eme binary;Count emcp binary;Mixture Count emv binary;Mixture Count all
82;1-heptanol__1,4-dioxane;1-heptanol;1,4-dioxane;CCCCCCCO;C1COCCO1;126.0;0.0;126.0;0.0;0.0;0.0;0.0;252.0
412;1,2-ethanediol__water;1,2-ethanediol;water;OCCO;O;26.0;0.0;0.0;10.0;0.0;79.0;135.0;250.0
29;1,1'-biphenyl__phenoxybenzene;1,1'-biphenyl;phenoxybenzene;c1ccc(cc1)c2ccccc2;O(c1ccccc1)c2ccccc2;250.0;0.0;0.0;0.0;0.0;0.0;0.0;250.0
218;ethanol__methanol;ethanol;methanol;CCO;CO;63.0;0.0;0.0;105.0;76.0;0.0;0.0;244.0
30;1,4-dimethylbenzene__octane;1,4-dimethylbenzene;octane;Cc1ccc(C)cc1;CCCCCCCC;242.0;0.0;0.0;0.0;0.0;0.0;0.0;242.0
34;tetrahydrofuran__water;tetrahydrofuran;water;C1CCOC1;O;220.0;0.0;20.0;0.0;0.0;0.0;0.0;240.0
31;1,4-butanediol__1-dodecanol;1,4-butanediol;1-dodecanol;OCCCCO;CCCCCCCCCCCCO;227.0;0.0;0.0;0.0;0.0;0.0;0.0;227.0
32;cycloheptanol__water;cycloheptanol;water;OC1CCCCCC1;O;222.0;0.0;0.0;0.0;0.0;0.0;0.0;222.0
41;1-propanol__dibutyl ether;1-propanol;dibutyl ether;CCCO;CCCCOCCCC;200.0;0.0;0.0;0.0;21.0;0.0;0.0;221.0
33;1,8-octanediol__water;1,8-octanediol;water;OCCCCCCCCO;O;220.0;0.0;0.0;0.0;0.0;0.0;0.0;220.0
123;1-butanol__toluene;1-butanol;toluene;CCCCO;Cc1ccccc1;88.0;0.0;88.0;0.0;38.0;0.0;0.0;214.0
