;Component;SMILES;Count dens binary;Count actcoeff binary;Count sos binary;Count dielec binary;Count eme binary;Count emcp binary;Count emv binary;Count all binary
51;1,2,3,4-Tetrahydronaphthalene;C1CCc2ccccc2C1;332.0;0.0;141.0;0.0;0.0;0.0;0.0;473.0
48;4,7,7-trimethyl-8-oxabicyclo[2.2.2]octane;CC12CCC(CC1)C(C)(C)O2;364.0;0.0;104.0;0.0;0.0;0.0;0.0;468.0
54;1-Propoxypropan-2-ol;CCCOCC(C)O;318.0;0.0;145.0;0.0;0.0;0.0;0.0;463.0
53;2-(2-Methoxyethoxy)ethanol;COCCOCCO;320.0;0.0;140.0;0.0;0.0;0.0;0.0;460.0
79;Butane-1,3-diol;CC(O)CCO;218.0;0.0;204.0;0.0;0.0;0.0;14.0;436.0
85;Butan-2-ol;CCC(C)O;202.0;0.0;136.0;0.0;85.0;0.0;0.0;423.0
58;1,3,5-Trimethylbenzene;Cc1cc(C)cc(C)c1;285.0;0.0;115.0;0.0;0.0;0.0;0.0;400.0
71;;C1CCCCCCC1;249.0;7.0;144.0;0.0;0.0;0.0;0.0;400.0
116;2-Ethoxyethanol;CCOCCO;91.0;0.0;71.0;0.0;221.0;0.0;0.0;383.0
89;2-Propoxyethanol;CCCOCCO;190.0;0.0;73.0;117.0;0.0;0.0;0.0;380.0
66;1-METHOXY-2-(2-METHOXYETHOXY)ETHANE;COCCOCCOC;257.0;0.0;18.0;99.0;0.0;0.0;0.0;374.0
59;Cyclohexanol;OC1CCCCC1;280.0;0.0;15.0;0.0;68.0;0.0;0.0;363.0
90;1-(2-methoxyethoxy)-2-[2-(2-methoxyethoxy)ethoxy]ethane;COCCOCCOCCOCCOC;186.0;0.0;0.0;166.0;0.0;0.0;0.0;352.0
84;1,3-DIOXOLANE;C1COCO1;204.0;0.0;148.0;0.0;0.0;0.0;0.0;352.0
49;;C1CC2C3CCC(C3)C2C1;352.0;0.0;0.0;0.0;0.0;0.0;0.0;352.0
52;2-(hydroxymethyl)-2-methylpropane-1,3-diol;CC(CO)(CO)CO;324.0;0.0;0.0;0.0;0.0;0.0;0.0;324.0
75;3-Methylbutan-1-ol;CC(C)CCO;235.0;15.0;52.0;0.0;0.0;0.0;0.0;302.0
103;1-ETHOXY-2-(2-ETHOXYETHOXY)ETHANE;CCOCCOCCOCC;135.0;0.0;135.0;0.0;17.0;0.0;0.0;287.0
57;Cyclopentanol;OC1CCCC1;287.0;0.0;0.0;0.0;0.0;0.0;0.0;287.0
61;;C1CC[C@@H]2CCCC[C@@H]2C1;278.0;0.0;9.0;0.0;0.0;0.0;0.0;287.0
120;2-propan-2-yloxypropane;CC(C)OC(C)C;88.0;0.0;97.0;0.0;101.0;0.0;0.0;286.0
65;Phenylbenzene;c1ccc(cc1)c2ccccc2;260.0;0.0;10.0;0.0;12.0;0.0;0.0;282.0
62;;C1CC[C@@H]2CCCC[C@H]2C1;278.0;0.0;0.0;0.0;0.0;0.0;0.0;278.0
70;2,2-bis(hydroxymethyl)propane-1,3-diol;OCC(CO)(CO)CO;249.0;0.0;22.0;0.0;0.0;0.0;0.0;271.0
63;2-ethyl-2-(hydroxymethyl)propane-1,3-diol;CCC(CO)(CO)CO;270.0;0.0;0.0;0.0;0.0;0.0;0.0;270.0
64;Pentane-1,5-diol;OCCCCCO;269.0;0.0;0.0;0.0;0.0;0.0;0.0;269.0
107;pentan-2-ol;CCCC(C)O;126.0;13.0;39.0;0.0;84.0;0.0;0.0;262.0
67;HEXANE-1,6-DIOL;OCCCCCCO;255.0;0.0;0.0;0.0;0.0;0.0;0.0;255.0
68;undecan-1-ol;CCCCCCCCCCCO;253.0;0.0;0.0;0.0;0.0;0.0;0.0;253.0
69;Phenoxybenzene;O(c1ccccc1)c2ccccc2;250.0;0.0;0.0;0.0;0.0;0.0;0.0;250.0
93;2-Methylbutan-1-ol;CCC(C)CO;173.0;15.0;56.0;0.0;0.0;0.0;0.0;244.0
76;dodecan-1-ol;CCCCCCCCCCCCO;227.0;12.0;0.0;0.0;0.0;0.0;0.0;239.0
111;2-(furan-2-ylmethyl)furan;C(c1occc1)c2occc2;114.0;0.0;114.0;0.0;0.0;0.0;0.0;228.0
77;Cycloheptanol;OC1CCCCCC1;222.0;0.0;0.0;0.0;0.0;0.0;0.0;222.0
78;Octane-1,8-diol;OCCCCCCCCO;220.0;0.0;0.0;0.0;0.0;0.0;0.0;220.0
