;InChI;Count;Component;SMILES
521;InChIKey=RTZKZFJDLAIYFH-UHFFFAOYSA-N;82;Ethoxyethane;CCOCC
523;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;81;2,2-Dimethylbutane;CCC(C)(C)C
601;InChIKey=AFABGHUZZDYHJO-UHFFFAOYSA-N;51;2-Methylpentane;CCCC(C)C
643;InChIKey=PFEOZHBOMNWTJB-UHFFFAOYSA-N;38;3-Methylpentane;CCC(C)CC
658;InChIKey=HCGFUIQPSOCUHI-UHFFFAOYSA-N;36;2-propan-2-yloxyethanol;CC(C)OCCO
670;InChIKey=WFRBDWRZVBPBDO-UHFFFAOYSA-N;33;2-Methylpentan-2-ol;CCCC(C)(C)O
671;InChIKey=WVYWICLMDOOCFB-UHFFFAOYSA-N;33;4-Methylpentan-2-ol;CC(C)CC(C)O
676;InChIKey=PFNHSEQQEPMLNI-UHFFFAOYSA-N;33;2-Methylpentan-1-ol;CCCC(C)CO
747;InChIKey=MXLMTQWGSQIYOW-UHFFFAOYSA-N;18;3-Methylbutan-2-ol;CC(C)C(C)O
762;InChIKey=CXBDYQVECUFKRK-UHFFFAOYSA-N;15;1-Methoxybutane;CCCCOC
777;InChIKey=DMEGYFMYUHOHGS-UHFFFAOYSA-N;13;Cycloheptane;C1CCCCCC1
