;InChI;Count;Component;SMILES
55;InChIKey=KFRVYYGHSPLXSZ-UHFFFAOYSA-N;27;2-Ethoxy-2-methylbutane;CCOC(C)(C)CC
56;InChIKey=IVSZLXZYQVIEFR-UHFFFAOYSA-N;25;1,3-Dimethylbenzene;Cc1cccc(C)c1
57;InChIKey=BBMCTIGTTCKYKF-UHFFFAOYSA-N;21;Heptan-1-ol;CCCCCCCO
58;InChIKey=GOOHAUXETOMSMM-UHFFFAOYSA-N;19;;CC1CO1
59;InChIKey=AFABGHUZZDYHJO-UHFFFAOYSA-N;19;2-Methylpentane;CCCC(C)C
60;InChIKey=LZDKZFUFMNSQCJ-UHFFFAOYSA-N;17;1,2-Diethoxyethane;CCOCCOCC
61;InChIKey=WFSMVVDJSNMRAR-UHFFFAOYSA-N;17;2-[2-(2-ethoxyethoxy)ethoxy]ethanol;CCOCCOCCOCCO
62;InChIKey=XXJWXESWEXIICW-UHFFFAOYSA-N;17;2-(2-Ethoxyethoxy)ethanol;CCOCCOCCO
63;InChIKey=RRQYJINTUHWNHW-UHFFFAOYSA-N;17;1-ETHOXY-2-(2-ETHOXYETHOXY)ETHANE;CCOCCOCCOCC
64;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;17;1,2-Dimethoxyethane;COCCOC
65;InChIKey=URLKBWYHVLBVBO-UHFFFAOYSA-N;14;1,4-Dimethylbenzene;Cc1ccc(C)cc1
66;InChIKey=ZUOUZKKEUPVFJK-UHFFFAOYSA-N;12;Phenylbenzene;c1ccc(cc1)c2ccccc2
67;InChIKey=OIAQMFOKAXHPNH-UHFFFAOYSA-N;12;1,2-di(phenyl)benzene;c1ccc(cc1)c2ccccc2c3ccccc3
68;InChIKey=YJTKZCDBKVTVBY-UHFFFAOYSA-N;12;1,3-di(phenyl)benzene;c1ccc(cc1)c2cccc(c2)c3ccccc3
69;InChIKey=XJKSTNDFUHDPQJ-UHFFFAOYSA-N;6;1,4-di(phenyl)benzene;c1ccc(cc1)c2ccc(cc2)c3ccccc3
