,9,26
,6,9
,7,12
,3,7
,2,5
,1,11
,5,8
,8,24
,4,19
,9,21
,12,32
,2,6
,5,11
,4,5
,4,16
,10,24
,5,21
,7,22
,1,12
,4,15
,2,11
,3,18
,10,29
,7,8
,7,21
,4,12
,2,12
,3,17
,10,30
,3,6
,1,10
,8,25
,4,11
,3,5
,5,10
,4,6
,5,7
,4,17
,9,23
,6,20
,5,20
,11,34
,3,15
,1,3
,4,8
,10,26
,7,11
,6,17
,7,20
,3,10
,1,14
,2,13
,3,16
,10,31
,6,18
,1,4
,11,33
,1,9
,2,14
,9,27
,6,8
,2,4
,5,9
,4,7
,8,23
,5,6
,4,18
,6,21
,5,19
,3,14
,1,2
,11,32
,4,9
,5,12
,9,28
,8,20
,7,10
,5,22
,10,22
,2,16
,3,13
,1,13
,4,20
,6,19
,3,8
,3,9
,2,15
,,
./AlkEthOH_r471.top,,
./AlkEthOH_r470.top,,
./AlkEthOH_r478.top,,
./AlkEthOH_r477.top,,
./AlkEthOH_r474.top,,
./AlkEthOH_r476.top,,
./AlkEthOH_r479.top,,
./AlkEthOH_r475.top,,
./AlkEthOH_r47.top,,
./AlkEthOH_r473.top,,
./AlkEthOH_r472.top,,
