;filename;components;SMILES;cas;InChI;Temperature, K;Pressure, kPa;Molar enthalpy of vaporization or sublimation, kJ/mol;Molar enthalpy of vaporization or sublimation, kJ/mol_std
1455025;je800091s;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;298.0;;36.72;
1455026;je800091s;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;298.0;;36.41;
