;InChI;Count;Component;SMILES
54;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;14;Ethylbenzene;CCc1ccccc1
55;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;13;Butan-2-ol;CCC(C)O
56;InChIKey=CXWXQJXEFPUFDZ-UHFFFAOYSA-N;13;1,2,3,4-Tetrahydronaphthalene;C1CCc2ccccc2C1
57;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;12;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
58;InChIKey=WRMNZCZEMHIOCP-UHFFFAOYSA-N;12;2-PHENYLETHANOL;OCCc1ccccc1
59;InChIKey=ZIBGPFATKBEMQZ-UHFFFAOYSA-N;12;2-[2-(2-hydroxyethoxy)ethoxy]ethanol;OCCOCCOCCO
60;InChIKey=MTHSVFCYNBDYFN-UHFFFAOYSA-N;12;2-(2-Hydroxyethoxy)ethanol;OCCOCCO
61;InChIKey=ZNQVEEAIQZEUHB-UHFFFAOYSA-N;11;2-Ethoxyethanol;CCOCCO
62;InChIKey=YLQBMQCUIZJEEH-UHFFFAOYSA-N;11;FURAN;o1cccc1
63;InChIKey=WNXJIVFYUVYPPR-UHFFFAOYSA-N;11;1,3-DIOXOLANE;C1COCO1
64;InChIKey=WVDDGKGOMKODPV-UHFFFAOYSA-N;10;phenylmethanol;OCc1ccccc1
65;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;10;2-Methoxyethanol;COCCO
66;InChIKey=FENFUOGYJVOCRY-UHFFFAOYSA-N;10;1-Propoxypropan-2-ol;CCCOCC(C)O
67;InChIKey=UWHCKJMYHZGTIT-UHFFFAOYSA-N;10;2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethanol;OCCOCCOCCOCCO
68;InChIKey=PRAKJMSDJKAYCZ-UHFFFAOYSA-N;9;2,6,10,15,19,23-Hexamethyltetracosane;CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C
69;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;8;Methylcyclohexane;CC1CCCCC1
70;InChIKey=JLGLQAWTXXGVEM-UHFFFAOYSA-N;8;2-[2-(2-Methoxyethoxy)ethoxy]ethanol;COCCOCCOCCO
71;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;6;pentan-2-ol;CCCC(C)O
72;InChIKey=VCLJODPNBNEBKW-UHFFFAOYSA-N;6;2,2,4,4,6,8,8-Heptamethylnonane;CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C
73;InChIKey=VKPSKYDESGTTFR-UHFFFAOYSA-N;6;2,2,4,6,6-PENTAMETHYLHEPTANE;CC(CC(C)(C)C)CC(C)(C)C
74;InChIKey=RDOXTESZEPMUJZ-UHFFFAOYSA-N;6;Methoxybenzene;COc1ccccc1
75;InChIKey=DURPTKYDGMDSBL-UHFFFAOYSA-N;6;1-Butoxybutane;CCCCOCCCC
76;InChIKey=DZJTZGHZAWTWGA-UHFFFAOYSA-N;5;3,5-DIMETHYLHEPTANE;CCC(C)CC(C)CC
77;InChIKey=POAOYUHQDCAZBD-UHFFFAOYSA-N;5;2-Butoxyethanol;CCCCOCCO
78;InChIKey=HZRSSYSIMDTFLT-UHFFFAOYSA-N;5;;CCCCCCCCCC(C)CCCCCC
79;InChIKey=CNPVJWYWYZMPDS-UHFFFAOYSA-N;5;2-Methyldecane;CCCCCCCCC(C)C
80;InChIKey=HTZWVZNRDDOFEI-UHFFFAOYSA-N;5;3-METHYLUNDECANE;CCCCCCCCC(C)CC
81;InChIKey=WGKZYJXRTIPTCV-UHFFFAOYSA-N;5;2-butoxypropan-1-ol;CCCCOC(C)CO
82;InChIKey=GZMAAYIALGURDQ-UHFFFAOYSA-N;5;2-(2-hexoxyethoxy)ethanol;CCCCCCOCCOCCO
83;InChIKey=SGVYKUFIHHTIFL-UHFFFAOYSA-N;5;2-Methylnonane;CCCCCCCC(C)C
84;InChIKey=ZUBZATZOEPUUQF-UHFFFAOYSA-N;5;2-Methyloctane;CCCCCCC(C)C
