;InChI;Count;Component;SMILES
51;InChIKey=RSJKGSCJYJTIGS-UHFFFAOYSA-N;5;Undecane;CCCCCCCCCCC
52;InChIKey=MGSRCZKZVOBKFT-UHFFFAOYSA-N;5;5-methyl-2-propan-2-ylphenol;CC(C)c1ccc(C)cc1O
53;InChIKey=FHKSXSQHXQEMOK-UHFFFAOYSA-N;5;hexane-1,2-diol;CCCCC(O)CO
54;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;3;methylbenzene;Cc1ccccc1
55;InChIKey=URLKBWYHVLBVBO-UHFFFAOYSA-N;3;1,4-Dimethylbenzene;Cc1ccc(C)cc1
56;InChIKey=CTQNGGLPUBDAKN-UHFFFAOYSA-N;3;1,2-Dimethylbenzene;Cc1ccccc1C
57;InChIKey=CHBDXRNMDNRJJC-UHFFFAOYSA-N;1;1,2,3-tri(phenyl)benzene;c1ccc(cc1)c2cccc(c3ccccc3)c2c4ccccc4
58;InChIKey=YJTKZCDBKVTVBY-UHFFFAOYSA-N;1;1,3-di(phenyl)benzene;c1ccc(cc1)c2cccc(c2)c3ccccc3
59;InChIKey=VKONPUDBRVKQLM-IZLXSQMJSA-N;1;;O[C@H]1CC[C@H](O)CC1
60;InChIKey=SJWFXCIHNDVPSH-UHFFFAOYSA-N;1;octan-2-ol;CCCCCCC(C)O
61;InChIKey=NMRPBPVERJPACX-UHFFFAOYSA-N;1;octan-3-ol;CCCCCC(O)CC
62;InChIKey=SXWIAEOZZQADEY-UHFFFAOYSA-N;1;1,3,5-tri(phenyl)benzene;c1ccc(cc1)c2cc(cc(c2)c3ccccc3)c4ccccc4
63;InChIKey=YVBCULSIZWMTFY-UHFFFAOYSA-N;1;Heptan-4-ol;CCCC(O)CCC
64;InChIKey=FCBBRODPXVPZAH-UHFFFAOYSA-N;1;Nonan-5-ol;CCCCC(O)CCCC
65;InChIKey=IXUOEGRSQCCEHB-UHFFFAOYSA-N;1;nonan-4-ol;CCCCCC(O)CCC
66;InChIKey=GPRIERYVMZVKTC-UHFFFAOYSA-N;1;1-phenyl-4-(4-phenylphenyl)benzene;c1ccc(cc1)c2ccc(cc2)c3ccc(cc3)c4ccccc4
67;InChIKey=WOFPPJOZXUTRAU-UHFFFAOYSA-N;1;Octan-4-ol;CCCCC(O)CCC
68;InChIKey=CETWDUZRCINIHU-UHFFFAOYSA-N;1;heptan-2-ol;CCCCCC(C)O
69;InChIKey=WCVRQHFDJLLWFE-UHFFFAOYSA-N;1;Pentane-1,2-diol;CCCC(O)CO
70;InChIKey=NGDNVOAEIVQRFH-UHFFFAOYSA-N;1;NONAN-2-OL;CCCCCCCC(C)O
71;InChIKey=GYSCXPVAKHVAAY-UHFFFAOYSA-N;1;nonan-3-ol;CCCCCCC(O)CC
72;InChIKey=XJKSTNDFUHDPQJ-UHFFFAOYSA-N;1;1,4-di(phenyl)benzene;c1ccc(cc1)c2ccc(cc2)c3ccccc3
