;InChI;Count;Component;SMILES
36;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;2;HEPTANE;CCCCCCC
121;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;1;Hexane;CCCCCC
301;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;1;Cyclohexane;C1CCCCC1
