;InChI;Count;Component;SMILES
55;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;75;Butan-2-ol;CCC(C)O
56;InChIKey=RRQYJINTUHWNHW-UHFFFAOYSA-N;73;1-ETHOXY-2-(2-ETHOXYETHOXY)ETHANE;CCOCCOCCOCC
57;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;65;2-Methylpropan-2-ol;CC(C)(C)O
58;InChIKey=RDOXTESZEPMUJZ-UHFFFAOYSA-N;63;Methoxybenzene;COc1ccccc1
59;InChIKey=RTZKZFJDLAIYFH-UHFFFAOYSA-N;61;Ethoxyethane;CCOCC
60;InChIKey=USIUVYZYUHIAEV-UHFFFAOYSA-N;60;Phenoxybenzene;O(c1ccccc1)c2ccccc2
61;InChIKey=IIYFAKIEWZDVMP-UHFFFAOYSA-N;59;Tridecane;CCCCCCCCCCCCC
62;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;59;2-Methoxy-2-methylpropane;COC(C)(C)C
63;InChIKey=NNPPMTNAJDCUHE-UHFFFAOYSA-N;58;2-Methylpropane;CC(C)C
64;InChIKey=IJDNQMDRQITEOD-UHFFFAOYSA-N;50;BUTANE;CCCC
65;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;47;2-propan-2-yloxypropane;CC(C)OC(C)C
66;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;45;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
67;InChIKey=RZJRJXONCZWCBN-UHFFFAOYSA-N;44;Octadecane;CCCCCCCCCCCCCCCCCC
68;InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N;43;PROPANE-1,2,3-TRIOL;OCC(O)CO
69;InChIKey=ZUHZGEOKBKGPSW-UHFFFAOYSA-N;43;1-(2-methoxyethoxy)-2-[2-(2-methoxyethoxy)ethoxy]ethane;COCCOCCOCCOCCOC
70;InChIKey=NNBZCPXTIHJBJL-AOOOYVTPSA-N;39;;C1CC[C@@H]2CCCC[C@@H]2C1
71;InChIKey=NNBZCPXTIHJBJL-MGCOHNPYSA-N;39;;C1CC[C@H]2CCCC[C@@H]2C1
72;InChIKey=UWHCKJMYHZGTIT-UHFFFAOYSA-N;38;2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethanol;OCCOCCOCCOCCO
73;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;37;2-Methylbutan-2-ol;CCC(C)(C)O
74;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;37;3-Methylbutan-1-ol;CC(C)CCO
75;InChIKey=WVDDGKGOMKODPV-UHFFFAOYSA-N;37;phenylmethanol;OCc1ccccc1
76;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;35;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
77;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;35;2-Methoxyethanol;COCCO
78;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;32;2-Ethoxy-2-methylpropane;CCOC(C)(C)C
79;InChIKey=YIWUKEYIRIRTPP-UHFFFAOYSA-N;29;2-Ethylhexan-1-ol;CCCCC(CC)CO
80;InChIKey=ZNQVEEAIQZEUHB-UHFFFAOYSA-N;28;2-Ethoxyethanol;CCOCCO
81;InChIKey=PUPZLCDOIYMWBV-UHFFFAOYSA-N;26;Butane-1,3-diol;CC(O)CCO
82;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;26;pentan-2-ol;CCCC(C)O
83;InChIKey=OTMSDBZUPAUEDD-UHFFFAOYSA-N;25;ETHANE;CC
84;InChIKey=AUHZEENZYGFFBQ-UHFFFAOYSA-N;25;1,3,5-Trimethylbenzene;Cc1cc(C)cc(C)c1
85;InChIKey=YFNKIDBQEZZDLK-UHFFFAOYSA-N;25;1,2-Bis(2-methoxyethoxy)ethane;COCCOCCOCCOC
86;InChIKey=XXMIOPMDWAUFGU-UHFFFAOYSA-N;23;HEXANE-1,6-DIOL;OCCCCCCO
87;InChIKey=WEEGYLXZBRQIMU-WAAGHKOSSA-N;23;4,7,7-trimethyl-8-oxabicyclo[2.2.2]octane;CC12CCC(CC1)C(C)(C)O2
88;InChIKey=POAOYUHQDCAZBD-UHFFFAOYSA-N;20;2-Butoxyethanol;CCCCOCCO
89;InChIKey=LPSXSORODABQKT-UHFFFAOYSA-N;18;;C1CC2C3CCC(C3)C2C1
90;InChIKey=VCLJODPNBNEBKW-UHFFFAOYSA-N;18;2,2,4,4,6,8,8-Heptamethylnonane;CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C
91;InChIKey=RGSFGYAAUTVSQA-UHFFFAOYSA-N;18;Cyclopentane;C1CCCC1
92;InChIKey=WRMNZCZEMHIOCP-UHFFFAOYSA-N;17;2-PHENYLETHANOL;OCCc1ccccc1
93;InChIKey=LQZZUXJYWNFBMV-UHFFFAOYSA-N;17;dodecan-1-ol;CCCCCCCCCCCCO
