;InChI;Count;Component;SMILES
53;InChIKey=ATUOYWHBWRKTHZ-UHFFFAOYSA-N;169;PROPANE;CCC
54;InChIKey=QNVRIHYSUZMSGM-UHFFFAOYSA-N;168;hexan-2-ol;CCCCC(C)O
55;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;162;1,4-Dioxane;C1COCCO1
56;InChIKey=IVSZLXZYQVIEFR-UHFFFAOYSA-N;161;1,3-Dimethylbenzene;Cc1cccc(C)c1
57;InChIKey=BSYVTEYKTMYBMK-UHFFFAOYSA-N;161;oxolan-2-ylmethanol;OCC1CCCO1
58;InChIKey=XCIXKGXIYUWCLL-UHFFFAOYSA-N;161;Cyclopentanol;OC1CCCC1
59;InChIKey=AQIXEPGDORPWBJ-UHFFFAOYSA-N;159;Pentan-3-ol;CCC(O)CC
60;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;154;2-Methylpropan-2-ol;CC(C)(C)O
61;InChIKey=CETWDUZRCINIHU-UHFFFAOYSA-N;152;heptan-2-ol;CCCCCC(C)O
62;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;145;2-Methoxyethanol;COCCO
63;InChIKey=WSVDSBZMYJJMSB-UHFFFAOYSA-N;145;Octadecylbenzene;CCCCCCCCCCCCCCCCCCc1ccccc1
64;InChIKey=GSNUFIFRDBKVIE-UHFFFAOYSA-N;144;2,5-Dimethylfuran;Cc1oc(C)cc1
65;InChIKey=NNPPMTNAJDCUHE-UHFFFAOYSA-N;144;2-Methylpropane;CC(C)C
66;InChIKey=PUPZLCDOIYMWBV-UHFFFAOYSA-N;139;Butane-1,3-diol;CC(O)CCO
67;InChIKey=SZNYYWIUQFZLLT-UHFFFAOYSA-N;139;2-methyl-1-(2-methylpropoxy)propane;CC(C)COCC(C)C
68;InChIKey=MTHSVFCYNBDYFN-UHFFFAOYSA-N;137;2-(2-Hydroxyethoxy)ethanol;OCCOCCO
69;InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N;135;2-Methylbutan-1-ol;CCC(C)CO
70;InChIKey=VQKFNUFAXTZWDK-UHFFFAOYSA-N;134;2-Methylfuran;Cc1occc1
71;InChIKey=BGHCVCJVXZWKCC-UHFFFAOYSA-N;132;Tetradecane;CCCCCCCCCCCCCC
72;InChIKey=OAYXUHPQHDHDDZ-UHFFFAOYSA-N;124;2-(2-Butoxyethoxy)ethanol;CCCCOCCOCCO
73;InChIKey=XXMIOPMDWAUFGU-UHFFFAOYSA-N;124;HEXANE-1,6-DIOL;OCCCCCCO
74;InChIKey=KJIOQYGWTQBHNH-UHFFFAOYSA-N;124;undecan-1-ol;CCCCCCCCCCCO
75;InChIKey=NKDDWNXOKDWJAK-UHFFFAOYSA-N;121;Dimethoxymethane;COCOC
76;InChIKey=YLQBMQCUIZJEEH-UHFFFAOYSA-N;119;FURAN;o1cccc1
77;InChIKey=JVSWJIKNEAIKJW-UHFFFAOYSA-N;117;2-Methylheptane;CCCCCC(C)C
78;InChIKey=SBASXUCJHJRPEV-UHFFFAOYSA-N;116;2-(2-Methoxyethoxy)ethanol;COCCOCCO
79;InChIKey=ZIBGPFATKBEMQZ-UHFFFAOYSA-N;115;2-[2-(2-hydroxyethoxy)ethoxy]ethanol;OCCOCCOCCO
