;filename;Mass density, kg/m3
84;j.fluid.2012.08.002;['2-methoxyethanol']
85;j.fluid.2012.08.030;['2-methoxyethanol' 'ethanol, 2-ethoxy-' '2-butoxyethanol']
86;j.fluid.2012.09.019;['decane' '1,4-dimethylbenzene' 'xylene' '1,3-dimethylbenzene']
87;j.fluid.2012.09.038;['water']
88;j.fluid.2012.10.004;['hexane' 'ethanol']
89;j.fluid.2012.11.004;['ethanol' '3-methyl-1-butanol']
90;j.fluid.2012.11.013;"['2,2-dimethylbutane' '2,3-dimethylbutane' '2-methylpentane'
 '3-methylpentane']"
91;j.fluid.2012.11.039;['decane' 'octadecane']
92;j.fluid.2012.12.021;['tetrahydropyran']
93;j.fluid.2012.12.022;['ethanol' 'water' 'glycerol' '1,2-ethanediol']
94;j.fluid.2013.01.002;['dodecane' '1-dodecanol' 'undecane']
95;j.fluid.2013.01.015;['octane' '1,4-dimethylbenzene' 'xylene' '1,3-dimethylbenzene']
96;j.fluid.2013.01.022;['tert-butyl ethyl ether' 'ethanol']
97;j.fluid.2013.01.024;['methanol' '2-propanol' 'ethanol']
98;j.fluid.2013.01.025;['1,2-ethanediol']
99;j.fluid.2013.01.027;"['1-butanol' '1-hexanol' '1-octanol' '1-decanol' '1-dodecanol' 'water'
 'benzene' 'toluene' 'ethylbenzene' 'propylbenzene']"
100;j.fluid.2013.02.003;['2-methyl-1-propanol' '2-methyl-2-propanol']
101;j.fluid.2013.02.005;['2,5-dimethylfuran' 'isopropyl ether']
102;j.fluid.2013.03.002;['hexadecane' 'dipropylene glycol monopropyl ether']
103;j.fluid.2013.03.029;['water' 'ethanol' '2-methyl-1-propanol' '1-pentanol']
104;j.fluid.2013.05.016;['nonane' 'benzene' 'heptane' 'toluene' 'xylene']
105;j.fluid.2013.06.006;['1-hexanol' '1-heptanol' '1-pentanol' '1-butanol' 'water']
106;j.fluid.2013.06.007;['water' '1-butanol' 'butan-2-ol' '1-pentanol' '1-hexanol' '1-heptanol']
107;j.fluid.2013.06.013;['water']
108;j.fluid.2013.06.018;['heptane' 'hexane' 'ethanol']
109;j.fluid.2013.06.021;['2-butoxyethanol' '1-propanol' '2-propanol' '1-butanol' 'butan-2-ol']
110;j.fluid.2013.06.041;"['1,2-ethanediol' '1,3-propanediol' '1,2-propanediol' '1,4-butanediol'
 '1,2-hexanediol']"
111;j.fluid.2013.07.015;['water']
112;j.fluid.2013.07.028;['hexane' 'toluene']
113;j.fluid.2013.07.054;['water']
114;j.fluid.2013.08.005;['water']
115;j.fluid.2013.08.007;['2-propanol' 'water']
116;j.fluid.2013.08.029;['1,2-ethanediol']
117;j.fluid.2013.09.029;['butan-2-ol' '2-methyl-2-propanol' '1-pentanol']
118;j.fluid.2013.09.030;['methanol']
119;j.fluid.2013.10.012;['undecane' '1,4-dimethylbenzene' 'xylene' '1,3-dimethylbenzene']
120;j.fluid.2013.10.022;['1-octanol' '2-ethyl-1-hexanol' 'water']
121;j.fluid.2013.10.033;['cyclohexane' 'methylcyclohexane' 'cyclooctane' 'benzene']
122;j.fluid.2013.10.034;['1-propanol' '2-propanol' 'water']
123;j.fluid.2013.10.057;['cyclopentane']
124;j.fluid.2013.10.060;['ethanol' 'hexane' 'tetrahydropyran']
125;j.fluid.2013.11.008;['methanol' 'ethanol' '2-propanol' '1-butanol']
126;j.fluid.2013.11.025;['methanol']
127;j.fluid.2013.11.026;['pentane']
128;j.fluid.2013.11.031;['1-propanol']
129;j.fluid.2013.11.036;['water']
130;j.fluid.2014.01.013;['decane' 'dodecane' 'tetradecane' 'hexadecane']
131;j.fluid.2014.01.019;['benzyl alcohol']
132;j.fluid.2014.01.022;['1-methoxy-2-propanol' 'methanol' '2-propanol']
133;j.fluid.2014.01.033;['hexane' 'benzene']
134;j.fluid.2014.01.044;['water']
135;j.fluid.2014.01.046;['ethanol' 'cyclohexane']
136;j.fluid.2014.03.002;['water']
