;Mixture;Count
172;cyclohexane__cis-9-octadecenoic acid;4
173;ethyl ethanoate__capric acid;4
174;1,3-dimethylbenzene__cis-2-butene;4
175;.alpha.-methyltoluene__cis-9-octadecenoic acid;4
176;butane, 2-ethoxy-2-methyl-__water;4
177;n-octadecanoic acid__benzyl chloride;4
178;benzene__trans-2-butene;4
179;N-methyl-2-pyrrolidone__water;4
180;1,2-dimethylbenzene__2-methylpropene;4
181;1,2-dimethylbenzene__propene;4
182;hexyl chloride__1,12-diaminododecane;4
183;toluene__cis-2-butene;4
184;1-heptene__1,12-diaminododecane;4
185;benzene__1,1-difluoroethane;4
186;ethylbenzene__1,12-diaminododecane;4
187;benzene__chloroethane;4
188;benzene, methoxy-__lauric acid;4
189;n-octane__1,12-diaminododecane;4
190;toluene__1,12-diaminododecane;4
191;n-butyl alcohol__1,12-diaminododecane;4
192;1-octene__1,12-diaminododecane;4
193;n-octadecanoic acid__isopropanol;4
194;1,2-dimethylbenzene__1-butene;4
195;dichloromethane__1,12-diaminododecane;4
196;benzene__1,3-butadiene;4
197;1-butanol__2-octanone;4
198;n-octadecanoic acid__.alpha.-methyltoluene;4
199;benzene__propane;4
200;1-butene__toluene;4
201;cis-9-octadecenoic acid__n-heptane;4
202;toluene__trans-2-butene;4
203;n-decane__1,12-diaminododecane;4
204;chloroethane__1,3-dimethylbenzene;4
205;butane__1,3-dimethylbenzene;4
206;linoleic acid__methoxybenzene;4
207;n-hexane__lauric acid;4
208;n-hexane__1,12-diaminododecane;4
209;ethyl ether__1,12-diaminododecane;4
210;1,3-dimethylbenzene__2-methylpropene;4
211;linoleic acid__2,2,4-trimethylpentane;4
212;benzene__1,12-diaminododecane;4
213;1,2-dimethylbenzene__trans-2-butene;4
214;1,3-dimethylbenzene__methoxymethane;4
215;linoleic acid__n-hexane;4
216;benzene__propene;4
217;2-methylpropane__1,3-dimethylbenzene;4
218;n-octadecanoic acid__2,2,4-trimethylpentane;4
219;tert-amyl methyl ether__water;4
220;dimethyl ketone__capric acid;4
221;benzene__cis-2-butene;4
222;2-thiapropane__hexane;4
223;butyl chloride__1,12-diaminododecane;4
224;methanol__capric acid;4
225;cyclohexaneamine__cyclohexane;4
226;methylbenzene__cis-9-octadecenoic acid;4
227;phenylmethane__tetradecanoic acid;4
228;1,3-butadiene__1,3-dimethylbenzene;4
229;tetradecanoic acid__1-hexene;4
230;1-decene__1,12-diaminododecane;4
231;1-butene__1,3-dimethylbenzene;4
232;propane__1,3-dimethylbenzene;4
233;carbon tetrachloride__1,12-diaminododecane;4
234;n-hexane__cis-9-octadecenoic acid;4
235;.alpha.-chlorotoluene__tetradecanoic acid;4
236;1,2-dimethylbenzene__butane;4
237;linoleic acid__.alpha.-methyltoluene;4
238;methyl alcohol__1-methylpyrrolidone;3
239;n-hexane__diethylene glycol;3
240;ethyl ethanoate__1,10-diaminodecane;3
241;n-octadecanoic acid__trichloroethylene;3
242;styrene__trans-2-butene;3
243;linoleic acid__ethanol;3
244;triethylene glycol__1-heptyne;3
245;hexadecanoic acid__2-propanol;3
246;isopropanol__cis-9-octadecenoic acid;3
247;triethylene glycol__1-hexyne;3
248;n-propyl alcohol__cis-9-octadecenoic acid;3
249;n-octadecanoic acid__n-hexane;3
250;ethylbenzene__triethylene glycol;3
251;1-octene__triethylene glycol;3
252;trichloroethylene__cis-9-octadecenoic acid;3
253;1-heptene__morpholine, N-formyl-;3
254;n-propyl alcohol__1-methylpyrrolidone;3
255;triethylene glycol__cyclopentane;3
256;methyl alcohol__morpholine, N-formyl-;3
257;2-methylpropane__styrene;3
258;hexadecanoic acid__methane, trichloro-;3
259;hexadecanoic acid__ethylbenzene;3
260;methoxybenzene__cis-9-octadecenoic acid;3
261;1-pentene__diethylene glycol;3
