;Mixture;Count
161;ethylene chloride__dimethylglycol;264
162;2-methyl-1,3-propanediol__water;263
163;2,2-diethyl-1,3-propanediol__water;263
164;1-butanol__heptane;261
165;propan-1-ol__1,8-cineole;260
166;2-methyl-2-propanol__methyl tert-butyl ether;260
167;1-propanol__dibutyl ether;259
168;2-pyrrolidinone__water;258
169;1,6-hexanediol__water;255
170;propanone__water;254
171;L-serine__water;252
172;1-heptanol__1,4-dioxane;252
173;triglyme__water;252
174;1,1'-biphenyl__phenoxybenzene;250
175;ethylene chloride__2,5,8-trioxanonane;250
176;methanol__magnesium acetate;250
177;ethyl acetoacetate__water;249
178;1,2-butanediol__water;248
179;methanol__benzene;248
180;1,3-butanediol__water;248
181;2-dimethylaminoethanol__water;247
182;2-(2-butoxyethoxy)ethanol__water;247
183;1,4-dimethylbenzene__decane;246
184;isopropyl ether__1-chlorobutane;245
185;isopropyl ether__2-methyl-2-chloropropane;245
186;isopropyl ether__propane, 1-chloro-2-methyl-;245
187;2-aminoethanol__water;245
188;aminoethanoic acid__water;244
189;1-methylpropyl chloride__isopropyl ether;244
190;ethylene chloride__bis(2-ethoxyethyl) ether;243
191;1,4-dimethylbenzene__octane;242
192;3,3-bis(hydroxymethyl)heptane__water;240
193;L-threonine__water;239
194;ammonia__ammonium bromide;236
195;hexane__hexadecane;234
196;methanol__chloroform;234
197;1,6-dihydroxyhexane__water;234
198;2-butoxyethanol__water;232
199;propanone__toluene;231
200;glutaric acid__water;230
201;diethyl carbonate__1-hexanol;228
202;acetophenone__diethyl carbonate;228
203;ammonium citrate, dibasic__water;228
204;acetophenone__1-hexanol;228
205;1,4-butanediol__1-dodecanol;227
206;ribitol__water;227
207;2-propanol__1,6-octadien-3-ol, 3,7-dimethyl-;224
208;1-butanol__2,2,4-trimethylpentane;224
209;n-butanol__1-hexene;224
210;diglyme__water;224
211;n-decane__carbon dioxide;222
212;cycloheptanol__water;222
213;1,8-octanediol__water;220
214;ethanol__1,6-octadien-3-ol, 3,7-dimethyl-;220
215;N-methylpiperidine__water;218
216;L-arginine__water;218
217;glycerin__water;218
218;propylene glycol__water;216
219;1-octanol__tributyl phosphate;215
220;1-decanol__tributyl phosphate;215
221;1-butanol__toluene;214
222;D(+)-glucose__water;213
223;2-butyl-2-ethyl-1,3-propanediol__water;212
224;2-methylpiperidine__water;211
225;n-butanol__tributyl phosphate;210
226;formamide, N,N-dimethyl-__propenoic acid, 2-methyl- methyl ester;210
227;1,2-diaminoethane__octyl alcohol;210
228;dibromomethane__heptane;210
229;methane, bromotrichloro-__heptane;210
230;dibromomethane__methane, bromotrichloro-;210
231;bromochloromethane__methane, bromotrichloro-;210
232;propenoic acid, 2-methyl- methyl ester__acetamide, N,N-dimethyl-;210
233;1,2-diaminoethane__1-decanol;210
234;1,2-hexanediol__water;209
235;diisopropanolamine__water;209
236;toluene__N-methyl-2-pyrrolidone;206
237;2-propanol__butanone;206
238;decane__methyl tert-butyl ether;201
239;ammonia__ammonium chloride;200
240;hexane__n-decane;200
241;2-propanol__dibutyl ether;200
242;nonane__1-chlorononane;198
243;3,6-dioxaoctane__water;196
244;2-propanol__1,3-diaminopropane;195
245;2-phenylethanol__2-propanol;195
246;1-propanol__1,2-diaminopropane;195
247;1-butanol__dibutyl ether;194
248;benzene__butyl propenoate;193
249;nonane__methyl tert-butyl ether;193
250;1-butanol__dodecane;193
251;1-vinyl-2-pyrrolidinone__water;193
252;2,6,10,15,19,23-hexamethyltetracosane__1-octanol;192
253;aniline__2-propanol;192
254;aniline__2-methyl-2-propanol;192
255;aniline__1-propanol;192
256;aniline__2-methyl-1-propanol;192
257;1-octanol__hexadecane;192
258;heptane__dimethyl carbonate;190
259;dibutylamine__diethylene glycol monohexyl ether;190
260;butanone__cyclohexane;189
261;1-butanol__benzene;189
262;ethane__hydrogen sulfide;188
263;benzene__N-methyl-2-pyrrolidone;188
264;2,6,10,15,19,23-hexamethyltetracosane__2,6,10,15,19,23-hexamethyltetracosane;187
265;3-dimethylamino-1-propanol__water;187
266;1,2-propanediol__isopropylamine;186
267;methylbenzene__n-heptane;185
268;1-propanol__1,3-diaminopropane;185
269;ethylbenzene__N-methyl-2-pyrrolidone;185
270;ethanol__1,8-cineole;184
271;isopropylamine__1,3-propanediol;183
272;2-propanol__propene;183
273;1,2-diaminoethane__1-hydroxyhexane;182
274;N-methyldiethanolamine__2-aminoethanol;182
275;cyclopentanone__water;181
276;1,2-dimethoxyethane__water;181
277;1-propanol__diethylene glycol monohexyl ether;180
278;1-pentanol__diethylene glycol monohexyl ether;180
279;2-methylaniline__4-methylpyridine;180
280;tributylamine__diethylene glycol monohexyl ether;180
281;diethyl carbonate__1,4-dimethylbenzene;180
282;tributylamine__dipropylene glycol monopropyl ether;180
283;butylamine__dipropylene glycol monopropyl ether;180
284;1,4-dimethylbenzene__N-methyl-2-pyrrolidone;180
285;methanol__diethylene glycol monohexyl ether;180
286;butylamine__diethylene glycol monohexyl ether;180
287;ethanol__N-methyldiethanolamine;180
288;dibutylamine__dipropylene glycol monopropyl ether;180
289;2-methylaniline__azine;180
290;methyl acetoacetate__water;180
291;2-methylaniline__2-methylpyridine;180
292;2-methylaniline__3-methylpyridine;179
293;propylamine__1,3-propanediol;178
294;propyl methanoate__decane;177
295;1,2-propanediol__propylamine;177
296;N-methyldiethanolamine__tetramethylene sulfone;176
297;methanol__chlorobenzene;176
298;cyclohexylmethanol__water;176
299;2-cyclohexylethanol__water;175
300;ethyl methanoate__decane;175
301;1-butanol__hexane;174
302;diethoxymethane__water;173
303;pyridine__2-aminoethanol;172
304;1-propanol__2,2,4-trimethylpentane;172
305;2,5,8-trioxanonane__water;172
306;n-octane__nonane;171
307;ethanol__cyclohexane;170
308;1-heptanol__diethylene glycol monohexyl ether;170
309;1,4-dimethylbenzene__dimethyl carbonate;169
310;ethanol__isopropyl ether;169
311;ethanol__triethanolamine;168
312;triethanolamine__2-aminoethanol;168
313;ethanol__benzyl acetate;168
314;ethanol__chloroform;168
315;2-heptanone__N,N-diethylethanamine;168
316;tetraglyme__water;168
317;decane__butyl methanoate;167
318;2-propanol__cyclohexane;165
319;2-methyl-1-propanol__bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-;165
320;pentaerythritol__water;165
321;uridine__water;164
322;3-amino-1-propanol__water;163
323;2-propanol__1,2-diaminopropane;162
324;2-heptanone__dipropylamine;161
325;methanol__1-butanol;161
326;triethylamine__water;161
327;1-hexanol__1-butoxy-2-propanol;160
328;1-octanol__1-butoxy-2-propanol;160
329;diethyl carbonate__carbon dioxide;160
330;1-decanol__1-butoxy-2-propanol;160
331;methyl sulfoxide__1-propanol;159
332;hexane__n-hexadecane;159
333;hexane__dimethyl carbonate;158
334;1,4-dioxane__water;157
335;cyclohexanone__water;156
336;cyclooctanol__water;156
337;acetophenone__toluene;156
338;2,2-dimethyl-1,3-propanediol__water;156
339;carbon dioxide__n-tetradecane;156
340;N-methylmorpholine__water;156
341;2-methylpropanoic acid__1,4-dioxane;154
342;heptane__1-chloropropane;154
343;diethanolamine__3-amino-1-propanol;154
344;n-hexane__1-chloropropane;154
345;1-butanol__2-butanone;154
346;ethanol, 2,2',2''-nitrilotri-__3-amino-1-propanol;154
347;methanol__2-butanone;154
348;toluene__2,2,4-trimethylpentane;154
349;1-propanol__2-butanone;154
350;ethanol, 2,2',2''-nitrilotri-__(S)-(+)-1-amino-2-propanol;154
351;2-amino-2-methyl-1-propanol__3-amino-1-propanol;154
352;2-amino-2-methyl-1-propanol__2-aminoethanol;154
353;2-amino-2-methyl-1-propanol__(S)-(+)-1-amino-2-propanol;154
354;diethanolamine__(S)-(+)-1-amino-2-propanol;154
355;1-ethyl-2-pyrrolidinone__water;154
356;N,N-dimethylformamide__benzene;153
357;3-pentanone__water;153
358;ethanol__1,2-dimethoxyethane;153
359;1,3-propanediamine, N-methyl-__water;153
360;cytidine__water;151
361;toluene__heptane;151
362;methanol__methyl tert-butyl ether;151
363;n-butyl acetate__1-propoxy-2-propanol;150
364;saccharose__water;150
365;n-octane__dimethyl carbonate;150
366;acetic acid, methyl ester__2-butoxy-1-propanol;150
367;diethyl carbonate__n-octane;150
368;o-hydroxytoluene__phenol, 3-methyl-;150
369;acetic acid, methyl ester__propylene glycol monomethyl ether;150
370;ethyl ethanoate__propylene glycol monoethyl ether;150
371;propylene glycol monomethyl ether__n-butyl acetate;150
372;1-propanol__chlorobenzene;150
373;hexane__heptane;149
374;dodecyltrimethylammonium bromide__water;148
375;methanol__diethyl malonate;148
376;urea__water;147
377;L-phenylalanine__water;147
378;dibutyl ether__ethanol, 2-propoxy-;146
379;D-glucitol__water;146
380;methylene bromide__heptane;146
381;cyclohexylamine__heptane;145
382;2-propanol__methyl tert-butyl ether;144
383;butan-1-ol__butane, 1,4-dihydroxy-;144
384;ethanol__isooctane;144
385;pyridine__butyrolactam;144
386;pyridine__1-methylpyrrolidone;144
387;N-acetylglycine__water;144
388;butan-1-ol__methyl tert-butyl ether;144
389;acetonitrile__N-methyl-2-pyrrolidone;143
390;toluene__cyclohexane;142
391;ethanol__butanone;141
392;isobutanol__ethylenediamine;140
393;2-propanol__ethylenediamine;140
394;acetic acid, methyl ester__propylene glycol monoethyl ether;140
395;diethyl sulfoxide__water;140
396;1-butanol__2-butoxyethanol;140
397;2-butanol__2-butoxyethanol;140
398;ethanol__tetrabutylphosphonium bromide;140
399;pentylcarbinol__methyl tert-butyl ether;140
400;ethyl ethanoate__1-propoxy-2-propanol;140
401;1-butanol__diethylenetriamine;140
402;propan-1-ol__methyl tert-butyl ether;140
403;1-hexanol__2-butoxyethanol;140
404;1-propanol__2-butoxyethanol;140
405;propylene glycol monomethyl ether__ethyl ethanoate;140
406;butan-1-ol__ethylenediamine;140
407;2-butoxyethanol__1-octanol;140
408;2-methyl-1-propanol__diethylenetriamine;140
409;2-propanol__diethylenetriamine;140
410;2-butoxyethanol__1-decanol;140
411;itaconic acid__water;140
412;lactic acid__choline hydrochloride;140
413;ethanol__methyl tert-butyl ether;140
414;2-propanol__2-butoxyethanol;140
415;pentan-1-ol__methyl tert-butyl ether;140
416;.alpha.-picoline__tetrahydropyran;138
417;.beta.-picoline__tetrahydropyran;138
418;N-methylformamide__oxane;138
419;chlorodifluoromethane__trichlorofluoromethane;138
420;sucrose__water;138
421;pentane__nonane;138
422;dodecane__carbon dioxide;138
423;pyridine__tetrahydropyran;138
424;.gamma.-picoline__tetrahydropyran;138
425;o-methylbenzenamine__N-methylformamide;138
426;o-chlorotoluene__1,3-dioxolane;138
427;propan-1-ol__tetrabutylphosphonium bromide;138
428;nonane__2,5,8-trioxanonane;135
429;1-ethoxy-1,1,2,2,3,3,4,4,4-nonafluorobutane__nonafluoroisobutyl ethyl ether;135
430;benzene__methylcyclohexane;135
431;methylcyclohexane__toluene;135
432;acetonitrile__formamide;135
433;1,1'-bicyclohexyl__tetralin;135
434;diethyl carbonate__n-decane;135
435;1-pentanol__(R)-1-methyl-4-(1-methylethenyl)cyclohexene;135
436;1,1'-bicyclohexyl__trans-bicyclo[4.4.0]decane;135
437;ethanol__2-methyl-1-butanol;134
438;1-octanol__dibutyl ether;134
439;1-butanol__methyl tert-butyl ether;133
440;N,N-dimethylformamide__pentan-1-ol;132
441;2-propanol__1,3-propanediol;132
442;o-chlorotoluene__1,4-dioxane;132
443;4-methylpyridine__water;132
444;benzenemethanol__1,2-butanediol;132
445;tetrapropylammonium bromide__water;132
446;N,N-dimethylformamide__1-heptanol;132
447;L-isoleucine__water;132
448;1-propanol__1,3-propanediol;132
449;N,N-dimethylacetamide__water;132
450;2-phenylethanol__1-propanol;132
451;N,N-dimethylformamide__1-hexanol;132
452;(RS)-2-butanol__1,2-butanediol;132
453;1-propanol__tert-butanol;132
454;1,2-dimethoxyethane__nonane;132
455;L-glutamine__water;132
456;1,3-butanediol__1,2-butanediol;132
457;2-propanol__tert-butanol;132
458;n-dodecane__1,2,3,4-tetrahydronaphthalene;132
459;tetralin__cetane;132
460;2-phenylethanol__1,2-butanediol;132
461;N-methylethanolamine__water;131
462;1-propanol__benzene;131
463;1-decanol__dibutyl ether;131
464;ethanol__benzene;131
465;piperazine__water;131
466;ethanol__acetic acid;131
467;butan-1-ol__tetrabutylphosphonium bromide;131
468;1-pentanol__dibutyl ether;131
469;cyclopentane__dimethyl carbonate;130
470;dimethyl diketone__water;130
471;n-octane__ethyl ethanoate;130
472;diethyl carbonate__cyclopentane;130
473;nitromethane__2-butoxyethanol;130
474;4-methyl-1,3-dioxolan-2-one__toluene;130
475;benzene__4-methyl-1,3-dioxolan-2-one;130
476;pentanoic acid__heptanoic acid;130
477;formamide__water;130
478;1-butanol__1,4-butanediol;130
479;propanoic acid, 2-methyl-__1-propanecarboxylic acid;130
480;acetonitrile__water;130
481;diethyl carbonate__methylcyclohexane;130
482;ethanecarboxylic acid__1-propanecarboxylic acid;130
483;dipropylamine__methyl tert-butyl ether;130
484;D-glucose__water;129
485;o-chlorotoluene__tetrahydropyran;129
486;n-decane__ethyl ethanoate;129
487;propanone__carbon dioxide;129
488;octane__methyl tert-butyl ether;129
489;1-butanol__cyclohexylamine;128
490;D-ribose__water;128
491;toluene__butyl propenoate;128
492;n-hexane__ethyl ethanoate;127
493;propan-1-ol__tetrabutylammonium bromide;127
494;1-butanol__chlorobenzene;126
495;isopropyl ether__2,2,4-trimethylpentane;126
496;1-butanol__decane;126
497;1-pentanol__chlorobenzene;126
498;L-methionine__water;126
499;2-methylpropane__carbon dioxide;126
500;1-amino-2-propanol__water;126
501;3-methylpyridine__water;126
502;1-butanol__2-(2-methoxyethoxy)ethanol;126
503;1-butanaminium, N,N,N-tributyl-, bromide__water;125
504;acetic acid, methyl ester__1-propoxy-2-propanol;125
505;butan-1-ol__tetrabutylammonium bromide;125
506;ethanol, 2-ethoxy-__cyclohexane;124
507;n-butane__carbon dioxide;124
508;aniline__ethyl methyl ketone;124
509;aniline__propanone;124
510;ethanol__ethyl acetoacetate;123
511;2-(2-methoxyethoxy)ethanol__water;123
512;pyrrole__pyridine;123
513;toluene__tert-butyl ethyl ether;122
514;2-methoxyethanol__2-(2-methoxyethoxy)ethanol;122
515;n-propane__hydrogen sulfide;122
516;1,3-dimethylbenzene__N-methyl-2-pyrrolidone;122
517;propyl acetate__n-hexane;121
518;butan-1-ol__3-methylbutyl ethanoate;120
519;methanol__3-methylbutyl ethanoate;120
520;butanoic acid__pentanoic acid;120
521;1-butanol__3,6-dioxa-1-octanol;120
522;oxacyclopentane__water;120
523;2-propanol__3-methylbutyl ethanoate;120
524;phosphoric triamide, hexamethyl-__water;120
525;propylamine__methyl tert-butyl ether;120
526;N-methyl-2-pyrrolidone__diethylammonium acetate;120
527;o-methylbenzenamine__oxane;120
528;ethanol__3-methylbutyl ethanoate;120
529;ethyl ethanoate__2-butoxy-1-propanol;120
530;2-aminoethanol__N-methyl-2-pyrrolidone;120
531;n-decane__dimethyl carbonate;120
532;cyclohexane__1-hexene;120
533;1-methylimidazole__water;120
534;1-butanol__2-methyltetrahydrofuran;120
535;propan-1-ol__3-methylbutyl ethanoate;120
536;ethyl methyl ketone__phenylmethylamine;119
537;N,N-dimethylformamide__ethylbenzene;119
538;.gamma.-butyrolactone__ethylbenzene;119
539;propane__carbon dioxide;119
540;ethyl methanoate__nonane;119
