;filename;x1;x2;SMILES1;SMILES2;cas1;cas2;InChI1;InChI2;components;Mole fraction;Temperature, K;Pressure, kPa;Excess molar volume, m3/mol;Excess molar volume, m3/mol_std
4146;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.1459;303.15;101.3;-4.12e-08;2e-09
4147;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.2263;303.15;101.3;-6.48e-08;2e-09
4148;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.3095;303.15;101.3;-8.93e-08;2e-09
4149;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.3941;303.15;101.3;-1.116e-07;2e-09
4150;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.4465;303.15;101.3;-1.249e-07;2e-09
4151;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.5025;303.15;101.3;-1.368e-07;2e-09
4152;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.5496;303.15;101.3;-1.452e-07;2e-09
4153;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.6021;303.15;101.3;-1.494e-07;2e-09
4154;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.6659;303.15;101.3;-1.493e-07;2e-09
4155;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.7352;303.15;101.3;-1.404e-07;2e-09
