;filename;x1;x2;SMILES1;SMILES2;cas1;cas2;InChI1;InChI2;components;Mole fraction;Temperature, K;Pressure, kPa;Excess molar heat capacity, J/K/mol;Excess molar heat capacity, J/K/mol_std
106149;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.1099;308.15;101.0;-0.05;-0.0005
106150;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.1099;313.15;101.0;-0.13;-0.0013
106151;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.1099;318.15;101.0;-0.182;-0.00182
106152;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.1099;323.15;101.0;-0.28;-0.0028
106153;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.1099;328.15;101.0;-0.428;-0.00428
106154;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.1099;333.15;101.0;-0.461;-0.00461
106155;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.1099;338.15;101.0;-0.661;-0.00661
106156;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.1099;343.15;101.0;-0.786;-0.00786
106157;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.1099;348.15;101.0;-0.864;-0.00864
106158;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.1099;353.15;101.0;-0.931;-0.00931
