;filename;x1;x2;SMILES1;SMILES2;cas1;cas2;InChI1;InChI2;components;Mole fraction;Temperature, K;Pressure, kPa;Activity coefficient;Activity coefficient_std
186038;j.jct.2010.04.011;methyl sulfoxide;1,5-hexadiene;C[S](C)=O;C=CCCC=C;164071-41-4;41919-05-5;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=PYGSKMBEVAICCR-UHFFFAOYSA-N;dimethyl sulfoxide__1,5-hexadiene;0.0;298.0;101.0;11.6;1.16
186039;j.jct.2010.04.011;cetane;1,5-hexadiene;CCCCCCCCCCCCCCCC;C=CCCC=C;544-76-3;41919-05-5;InChIKey=DCAYPVUWAIABOU-UHFFFAOYSA-N;InChIKey=PYGSKMBEVAICCR-UHFFFAOYSA-N;cetane__1,5-hexadiene;0.0;298.0;101.0;0.8;0.08
186040;j.jct.2010.04.011;methyl sulfoxide;1-heptyne;C[S](C)=O;CCCCCC#C;164071-41-4;628-71-7;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=YVXHZKKCZYLQOP-UHFFFAOYSA-N;dimethyl sulfoxide__1-heptyne;0.0;298.0;101.0;6.9;0.69
186041;j.jct.2010.04.011;methyl sulfoxide;1-hexyne;C[S](C)=O;CCCCC#C;164071-41-4;693-02-7;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=CGHIBGNXEGJPQZ-UHFFFAOYSA-N;dimethyl sulfoxide__1-hexyne;0.0;298.0;101.0;4.1;0.41
186042;j.jct.2010.04.011;methyl sulfoxide;1-octyne;C[S](C)=O;CCCCCCC#C;164071-41-4;629-05-0;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=UMIPWJGWASORKV-UHFFFAOYSA-N;dimethyl sulfoxide__1-octyne;0.0;298.0;101.0;10.2;1.02
186043;j.jct.2010.04.011;methyl sulfoxide;p-cymene;C[S](C)=O;CC(C)c1ccc(C)cc1;164071-41-4;4939-75-7;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=HFPZCAJZSCWRBC-UHFFFAOYSA-N;dimethyl sulfoxide__p-cymene;0.0;298.0;101.0;15.1;1.51
186044;j.jct.2010.04.011;methyl sulfoxide;4-ethenylcyclohexene;C[S](C)=O;C=CC1CCC=CC1;164071-41-4;92619-43-7;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=BBDKZWKEPDTENS-UHFFFAOYSA-N;dimethyl sulfoxide__4-ethenylcyclohexene;0.0;298.0;101.0;20.7;2.07
186046;j.jct.2010.04.011;methyl sulfoxide;methane, bromotrichloro-;C[S](C)=O;ClC(Cl)(Cl)Br;164071-41-4;75-62-7;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=XNNQFQFUQLJSQT-UHFFFAOYSA-N;dimethyl sulfoxide__methane, bromotrichloro-;0.0;298.0;101.0;2.1;0.21
186047;j.jct.2010.04.011;methyl sulfoxide;1,3,5-cycloheptatriene;C[S](C)=O;C1C=CC=CC=C1;164071-41-4;544-25-2;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=CHVJITGCYZJHLR-UHFFFAOYSA-N;dimethyl sulfoxide__1,3,5-cycloheptatriene;0.0;298.0;101.0;5.7;0.57
186048;j.jct.2010.04.011;methyl sulfoxide;1,2,3,4-tetrahydrobenzene;C[S](C)=O;C1CCC=CC1;164071-41-4;7493-04-1;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=HGCIXCUEYOPUTN-UHFFFAOYSA-N;dimethyl sulfoxide__1,2,3,4-tetrahydrobenzene;0.0;298.0;101.0;14.9;1.49
186049;j.jct.2010.04.011;methyl sulfoxide;cyclooctane;C[S](C)=O;C1CCCCCCC1;164071-41-4;292-64-8;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=WJTCGQSWYFHTAC-UHFFFAOYSA-N;dimethyl sulfoxide__cyclooctane;0.0;298.0;101.0;63.3;6.33
186051;j.jct.2010.04.011;methyl sulfoxide;cyclopentene;C[S](C)=O;C1CC=CC1;164071-41-4;142-29-0;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=LPIQUOYDBNQMRZ-UHFFFAOYSA-N;dimethyl sulfoxide__cyclopentene;0.0;298.0;101.0;7.0;0.7
186052;j.jct.2010.04.011;methyl sulfoxide;methylcyclohexane;C[S](C)=O;CC1CCCCC1;164071-41-4;108-87-2;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;dimethyl sulfoxide__methylcyclohexane;0.0;298.0;101.0;49.2;4.92
186053;j.jct.2010.04.011;methyl sulfoxide;methylcyclopentane;C[S](C)=O;CC1CCCC1;164071-41-4;5310-57-6;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=GDOPTJXRTPNYNR-UHFFFAOYSA-N;dimethyl sulfoxide__methylcyclopentane;0.0;298.0;101.0;29.5;2.95
186054;j.jct.2010.04.011;methyl sulfoxide;tetrachloroethene;C[S](C)=O;ClC(Cl)=C(Cl)Cl;164071-41-4;127-18-4;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=CYTYCFOTNPOANT-UHFFFAOYSA-N;dimethyl sulfoxide__tetrachloroethene;0.0;298.0;101.0;10.5;1.05
282080;j.jct.2012.06.009;hexane;capric acid;CCCCCC;CCCCCCCCCC(O)=O;92112-69-1;334-48-5;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;n-hexane__capric acid;0.0;314.1;101.0;1.752;0.07008
282081;j.jct.2012.06.009;hexane;capric acid;CCCCCC;CCCCCCCCCC(O)=O;92112-69-1;334-48-5;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;n-hexane__capric acid;0.0;314.24;101.0;1.774;0.07096
282082;j.jct.2012.06.009;hexane;capric acid;CCCCCC;CCCCCCCCCC(O)=O;92112-69-1;334-48-5;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;n-hexane__capric acid;0.0;333.26;101.0;1.731;0.06924
282083;j.jct.2012.06.009;hexane;capric acid;CCCCCC;CCCCCCCCCC(O)=O;92112-69-1;334-48-5;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;n-hexane__capric acid;0.0;333.38;101.0;1.696;0.06784
282084;j.jct.2012.06.009;hexane;capric acid;CCCCCC;CCCCCCCCCC(O)=O;92112-69-1;334-48-5;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;n-hexane__capric acid;0.0;353.3;101.0;1.653;0.06612
282085;j.jct.2012.06.009;heptane;capric acid;CCCCCCC;CCCCCCCCCC(O)=O;142-82-5;334-48-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;heptane__capric acid;0.0;314.1;101.0;1.87;0.0748
282086;j.jct.2012.06.009;heptane;capric acid;CCCCCCC;CCCCCCCCCC(O)=O;142-82-5;334-48-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;heptane__capric acid;0.0;314.24;101.0;1.901;0.07604
282087;j.jct.2012.06.009;heptane;capric acid;CCCCCCC;CCCCCCCCCC(O)=O;142-82-5;334-48-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;heptane__capric acid;0.0;333.26;101.0;1.827;0.07308
282088;j.jct.2012.06.009;heptane;capric acid;CCCCCCC;CCCCCCCCCC(O)=O;142-82-5;334-48-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;heptane__capric acid;0.0;333.38;101.0;1.824;0.07296
282089;j.jct.2012.06.009;heptane;capric acid;CCCCCCC;CCCCCCCCCC(O)=O;142-82-5;334-48-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;heptane__capric acid;0.0;353.3;101.0;1.754;0.07016
282090;j.jct.2012.06.009;capric acid;2-methylheptane;CCCCCCCCCC(O)=O;CCCCCC(C)C;334-48-5;592-27-8;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;InChIKey=JVSWJIKNEAIKJW-UHFFFAOYSA-N;capric acid__isooctane;0.0;314.1;101.0;2.018;0.08072
282091;j.jct.2012.06.009;capric acid;2-methylheptane;CCCCCCCCCC(O)=O;CCCCCC(C)C;334-48-5;592-27-8;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;InChIKey=JVSWJIKNEAIKJW-UHFFFAOYSA-N;capric acid__isooctane;0.0;314.24;101.0;1.983;0.07932
282092;j.jct.2012.06.009;capric acid;2-methylheptane;CCCCCCCCCC(O)=O;CCCCCC(C)C;334-48-5;592-27-8;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;InChIKey=JVSWJIKNEAIKJW-UHFFFAOYSA-N;capric acid__isooctane;0.0;333.26;101.0;1.914;0.07656
282093;j.jct.2012.06.009;capric acid;2-methylheptane;CCCCCCCCCC(O)=O;CCCCCC(C)C;334-48-5;592-27-8;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;InChIKey=JVSWJIKNEAIKJW-UHFFFAOYSA-N;capric acid__isooctane;0.0;353.25;101.0;1.858;0.07432
282094;j.jct.2012.06.009;capric acid;1-hexene;CCCCCCCCCC(O)=O;CCCCC=C;334-48-5;153522-12-4;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;InChIKey=LIKMAJRDDDTEIG-UHFFFAOYSA-N;capric acid__1-hexene;0.0;314.24;101.0;1.559;0.06236
282095;j.jct.2012.06.009;capric acid;1-hexene;CCCCCCCCCC(O)=O;CCCCC=C;334-48-5;153522-12-4;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;InChIKey=LIKMAJRDDDTEIG-UHFFFAOYSA-N;capric acid__1-hexene;0.0;333.26;101.0;1.496;0.05984
282096;j.jct.2012.06.009;capric acid;1-hexene;CCCCCCCCCC(O)=O;CCCCC=C;334-48-5;153522-12-4;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;InChIKey=LIKMAJRDDDTEIG-UHFFFAOYSA-N;capric acid__1-hexene;0.0;333.38;101.0;1.494;0.05976
282097;j.jct.2012.06.009;capric acid;1-hexene;CCCCCCCCCC(O)=O;CCCCC=C;334-48-5;153522-12-4;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;InChIKey=LIKMAJRDDDTEIG-UHFFFAOYSA-N;capric acid__1-hexene;0.0;353.3;101.0;1.428;0.05712
282098;j.jct.2012.06.009;toluene;capric acid;Cc1ccccc1;CCCCCCCCCC(O)=O;3101-08-4;334-48-5;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;phenylmethane__capric acid;0.0;314.1;101.0;1.151;0.04604
282099;j.jct.2012.06.009;toluene;capric acid;Cc1ccccc1;CCCCCCCCCC(O)=O;3101-08-4;334-48-5;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;phenylmethane__capric acid;0.0;314.24;101.0;1.174;0.04696
282100;j.jct.2012.06.009;toluene;capric acid;Cc1ccccc1;CCCCCCCCCC(O)=O;3101-08-4;334-48-5;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;phenylmethane__capric acid;0.0;333.26;101.0;1.122;0.04488
282101;j.jct.2012.06.009;toluene;capric acid;Cc1ccccc1;CCCCCCCCCC(O)=O;3101-08-4;334-48-5;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;phenylmethane__capric acid;0.0;333.38;101.0;1.116;0.04464
282102;j.jct.2012.06.009;toluene;capric acid;Cc1ccccc1;CCCCCCCCCC(O)=O;3101-08-4;334-48-5;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;phenylmethane__capric acid;0.0;353.25;101.0;1.144;0.04576
282103;j.jct.2012.06.009;toluene;capric acid;Cc1ccccc1;CCCCCCCCCC(O)=O;3101-08-4;334-48-5;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;phenylmethane__capric acid;0.0;353.3;101.0;1.156;0.04624
282104;j.jct.2012.06.009;cyclohexane;capric acid;C1CCCCC1;CCCCCCCCCC(O)=O;25012-93-5;334-48-5;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;cyclohexane__capric acid;0.0;314.1;101.0;1.436;0.05744
282105;j.jct.2012.06.009;cyclohexane;capric acid;C1CCCCC1;CCCCCCCCCC(O)=O;25012-93-5;334-48-5;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;cyclohexane__capric acid;0.0;314.24;101.0;1.461;0.05844
282106;j.jct.2012.06.009;cyclohexane;capric acid;C1CCCCC1;CCCCCCCCCC(O)=O;25012-93-5;334-48-5;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;cyclohexane__capric acid;0.0;333.26;101.0;1.386;0.05544
282107;j.jct.2012.06.009;cyclohexane;capric acid;C1CCCCC1;CCCCCCCCCC(O)=O;25012-93-5;334-48-5;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;cyclohexane__capric acid;0.0;333.38;101.0;1.391;0.05564
282108;j.jct.2012.06.009;cyclohexane;capric acid;C1CCCCC1;CCCCCCCCCC(O)=O;25012-93-5;334-48-5;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;cyclohexane__capric acid;0.0;353.25;101.0;1.352;0.05408
282109;j.jct.2012.06.009;cyclohexane;capric acid;C1CCCCC1;CCCCCCCCCC(O)=O;25012-93-5;334-48-5;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;cyclohexane__capric acid;0.0;353.3;101.0;1.309;0.05236
282110;j.jct.2012.06.009;ethylbenzene;capric acid;CCc1ccccc1;CCCCCCCCCC(O)=O;70955-17-8;334-48-5;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;ethylbenzene__capric acid;0.0;333.26;101.0;1.278;0.05112
282111;j.jct.2012.06.009;ethylbenzene;capric acid;CCc1ccccc1;CCCCCCCCCC(O)=O;70955-17-8;334-48-5;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;ethylbenzene__capric acid;0.0;333.35;101.0;1.302;0.05208
282112;j.jct.2012.06.009;ethylbenzene;capric acid;CCc1ccccc1;CCCCCCCCCC(O)=O;70955-17-8;334-48-5;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;ethylbenzene__capric acid;0.0;353.3;101.0;1.218;0.04872
282113;j.jct.2012.06.009;methanol;capric acid;CO;CCCCCCCCCC(O)=O;54841-71-3;334-48-5;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;methanol__capric acid;0.0;314.24;101.0;2.14;0.0856
282114;j.jct.2012.06.009;methanol;capric acid;CO;CCCCCCCCCC(O)=O;54841-71-3;334-48-5;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;methanol__capric acid;0.0;333.38;101.0;1.845;0.0738
282115;j.jct.2012.06.009;methanol;capric acid;CO;CCCCCCCCCC(O)=O;54841-71-3;334-48-5;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;methanol__capric acid;0.0;353.08;101.0;1.462;0.05848
282116;j.jct.2012.06.009;methanol;capric acid;CO;CCCCCCCCCC(O)=O;54841-71-3;334-48-5;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;methanol__capric acid;0.0;353.3;101.0;1.569;0.06276
282117;j.jct.2012.06.009;ethanol;capric acid;CCO;CCCCCCCCCC(O)=O;121182-78-3;334-48-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;ethyl alcohol__capric acid;0.0;314.1;101.0;2.115;0.0846
282118;j.jct.2012.06.009;ethanol;capric acid;CCO;CCCCCCCCCC(O)=O;121182-78-3;334-48-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;ethyl alcohol__capric acid;0.0;314.24;101.0;2.067;0.08268
282119;j.jct.2012.06.009;ethanol;capric acid;CCO;CCCCCCCCCC(O)=O;121182-78-3;334-48-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;ethyl alcohol__capric acid;0.0;333.26;101.0;1.728;0.06912
282120;j.jct.2012.06.009;ethanol;capric acid;CCO;CCCCCCCCCC(O)=O;121182-78-3;334-48-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;ethyl alcohol__capric acid;0.0;333.38;101.0;1.783;0.07132
282121;j.jct.2012.06.009;ethanol;capric acid;CCO;CCCCCCCCCC(O)=O;121182-78-3;334-48-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;ethyl alcohol__capric acid;0.0;353.3;101.0;1.478;0.05912
282122;j.jct.2012.06.009;1-propanol;capric acid;CCCO;CCCCCCCCCC(O)=O;71-23-8;334-48-5;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;propan-1-ol__capric acid;0.0;314.1;101.0;1.887;0.07548
282123;j.jct.2012.06.009;1-propanol;capric acid;CCCO;CCCCCCCCCC(O)=O;71-23-8;334-48-5;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;propan-1-ol__capric acid;0.0;314.24;101.0;1.924;0.07696
282124;j.jct.2012.06.009;1-propanol;capric acid;CCCO;CCCCCCCCCC(O)=O;71-23-8;334-48-5;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;propan-1-ol__capric acid;0.0;333.26;101.0;1.569;0.06276
282125;j.jct.2012.06.009;1-propanol;capric acid;CCCO;CCCCCCCCCC(O)=O;71-23-8;334-48-5;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;propan-1-ol__capric acid;0.0;333.38;101.0;1.6;0.064
282126;j.jct.2012.06.009;1-propanol;capric acid;CCCO;CCCCCCCCCC(O)=O;71-23-8;334-48-5;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;propan-1-ol__capric acid;0.0;353.25;101.0;1.407;0.05628
282127;j.jct.2012.06.009;1-propanol;capric acid;CCCO;CCCCCCCCCC(O)=O;71-23-8;334-48-5;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;propan-1-ol__capric acid;0.0;353.3;101.0;1.354;0.05416
282128;j.jct.2012.06.009;1-butanol;capric acid;CCCCO;CCCCCCCCCC(O)=O;107569-51-7;334-48-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;1-butanol__capric acid;0.0;333.26;101.0;1.482;0.05928
282129;j.jct.2012.06.009;1-butanol;capric acid;CCCCO;CCCCCCCCCC(O)=O;107569-51-7;334-48-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;1-butanol__capric acid;0.0;333.35;101.0;1.53;0.0612
282130;j.jct.2012.06.009;1-butanol;capric acid;CCCCO;CCCCCCCCCC(O)=O;107569-51-7;334-48-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;1-butanol__capric acid;0.0;353.25;101.0;1.342;0.05368
282131;j.jct.2012.06.009;1-butanol;capric acid;CCCCO;CCCCCCCCCC(O)=O;107569-51-7;334-48-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;1-butanol__capric acid;0.0;353.3;101.0;1.321;0.05284
282132;j.jct.2012.06.009;2-propanol;capric acid;CC(C)O;CCCCCCCCCC(O)=O;8013-70-5;334-48-5;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;2-propanol__capric acid;0.0;314.1;101.0;1.56;0.0624
282133;j.jct.2012.06.009;2-propanol;capric acid;CC(C)O;CCCCCCCCCC(O)=O;8013-70-5;334-48-5;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;2-propanol__capric acid;0.0;314.24;101.0;1.581;0.06324
282134;j.jct.2012.06.009;2-propanol;capric acid;CC(C)O;CCCCCCCCCC(O)=O;8013-70-5;334-48-5;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;2-propanol__capric acid;0.0;333.26;101.0;1.347;0.05388
282135;j.jct.2012.06.009;2-propanol;capric acid;CC(C)O;CCCCCCCCCC(O)=O;8013-70-5;334-48-5;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;2-propanol__capric acid;0.0;333.38;101.0;1.357;0.05428
282136;j.jct.2012.06.009;2-propanol;capric acid;CC(C)O;CCCCCCCCCC(O)=O;8013-70-5;334-48-5;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;2-propanol__capric acid;0.0;353.25;101.0;1.198;0.04792
282137;j.jct.2012.06.009;2-propanol;capric acid;CC(C)O;CCCCCCCCCC(O)=O;8013-70-5;334-48-5;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;2-propanol__capric acid;0.0;353.3;101.0;1.151;0.04604
282138;j.jct.2012.06.009;(RS)-2-butanol;capric acid;CCC(C)O;CCCCCCCCCC(O)=O;4221-99-2;334-48-5;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;butan-2-ol__capric acid;0.0;314.1;101.0;1.334;0.05336
282139;j.jct.2012.06.009;(RS)-2-butanol;capric acid;CCC(C)O;CCCCCCCCCC(O)=O;4221-99-2;334-48-5;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;butan-2-ol__capric acid;0.0;314.24;101.0;1.354;0.05416
282140;j.jct.2012.06.009;(RS)-2-butanol;capric acid;CCC(C)O;CCCCCCCCCC(O)=O;4221-99-2;334-48-5;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;butan-2-ol__capric acid;0.0;333.26;101.0;1.167;0.04668
282141;j.jct.2012.06.009;(RS)-2-butanol;capric acid;CCC(C)O;CCCCCCCCCC(O)=O;4221-99-2;334-48-5;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;butan-2-ol__capric acid;0.0;333.38;101.0;1.159;0.04636
282142;j.jct.2012.06.009;(RS)-2-butanol;capric acid;CCC(C)O;CCCCCCCCCC(O)=O;4221-99-2;334-48-5;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;butan-2-ol__capric acid;0.0;353.25;101.0;1.052;0.04208
282143;j.jct.2012.06.009;(RS)-2-butanol;capric acid;CCC(C)O;CCCCCCCCCC(O)=O;4221-99-2;334-48-5;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;butan-2-ol__capric acid;0.0;353.3;101.0;1.037;0.04148
282144;j.jct.2012.06.009;chloroform;capric acid;ClC(Cl)Cl;CCCCCCCCCC(O)=O;67-66-3;334-48-5;InChIKey=HEDRZPFGACZZDS-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;methane, trichloro-__capric acid;0.0;314.1;101.0;0.823;0.03292
282145;j.jct.2012.06.009;chloroform;capric acid;ClC(Cl)Cl;CCCCCCCCCC(O)=O;67-66-3;334-48-5;InChIKey=HEDRZPFGACZZDS-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;methane, trichloro-__capric acid;0.0;314.24;101.0;0.846;0.03384
282146;j.jct.2012.06.009;chloroform;capric acid;ClC(Cl)Cl;CCCCCCCCCC(O)=O;67-66-3;334-48-5;InChIKey=HEDRZPFGACZZDS-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;methane, trichloro-__capric acid;0.0;333.26;101.0;0.85;0.034
282147;j.jct.2012.06.009;chloroform;capric acid;ClC(Cl)Cl;CCCCCCCCCC(O)=O;67-66-3;334-48-5;InChIKey=HEDRZPFGACZZDS-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;methane, trichloro-__capric acid;0.0;333.38;101.0;0.827;0.03308
282148;j.jct.2012.06.009;chloroform;capric acid;ClC(Cl)Cl;CCCCCCCCCC(O)=O;67-66-3;334-48-5;InChIKey=HEDRZPFGACZZDS-UHFFFAOYSA-N;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;methane, trichloro-__capric acid;0.0;353.3;101.0;0.825;0.033
